UserID,user_new_id
U00006040,0
U00006037,1
U00006036,2
U00006035,3
U00006031,4
U00006032,5
U00006030,6
U00006028,7
U00006026,8
U00006027,9
U00006025,10
U00006024,11
U00006023,12
U00006022,13
U00006021,14
U00006019,15
U00006018,16
U00006016,17
U00006015,18
U00006014,19
U00006011,20
U00006007,21
U00006006,22
U00006003,23
U00006001,24
U00005997,25
U00005996,26
U00005995,27
U00006010,28
U00006013,29
U00005992,30
U00005989,31
U00005988,32
U00006000,33
U00005987,34
U00005986,35
U00005984,36
U00005983,37
U00005982,38
U00005980,39
U00005976,40
U00005975,41
U00005974,42
U00005973,43
U00005972,44
U00005969,45
U00005964,46
U00005963,47
U00005961,48
U00005960,49
U00005959,50
U00005958,51
U00005957,52
U00005956,53
U00005955,54
U00005954,55
U00005953,56
U00005950,57
U00005947,58
U00005948,59
U00005946,60
U00005944,61
U00005943,62
U00005942,63
U00005939,64
U00005937,65
U00005935,66
U00005934,67
U00005933,68
U00005932,69
U00005931,70
U00005930,71
U00005927,72
U00005938,73
U00005924,74
U00005925,75
U00005971,76
U00005921,77
U00005920,78
U00005919,79
U00005917,80
U00005916,81
U00005914,82
U00005915,83
U00005913,84
U00005912,85
U00005910,86
U00005911,87
U00005908,88
U00005905,89
U00005906,90
U00005903,91
U00005902,92
U00005901,93
U00005900,94
U00005896,95
U00005893,96
U00005892,97
U00005894,98
U00005890,99
U00005922,100
U00005888,101
U00005887,102
U00005886,103
U00005885,104
U00005884,105
U00005889,106
U00005881,107
U00005879,108
U00005880,109
U00005878,110
U00005874,111
U00005872,112
U00005875,113
U00005871,114
U00005869,115
U00005868,116
U00005865,117
U00005864,118
U00005862,119
U00005860,120
U00005858,121
U00005857,122
U00005856,123
U00005855,124
U00005854,125
U00005853,126
U00005852,127
U00005851,128
U00005848,129
U00005847,130
U00005845,131
U00005844,132
U00005843,133
U00005842,134
U00005841,135
U00005840,136
U00005839,137
U00005838,138
U00005837,139
U00005836,140
U00005835,141
U00005833,142
U00005832,143
U00005831,144
U00005829,145
U00005827,146
U00005826,147
U00005824,148
U00005823,149
U00005819,150
U00005818,151
U00005814,152
U00005815,153
U00005813,154
U00005812,155
U00005811,156
U00005809,157
U00005808,158
U00005806,159
U00005807,160
U00005805,161
U00005803,162
U00005802,163
U00005801,164
U00005825,165
U00005798,166
U00005797,167
U00005794,168
U00005795,169
U00005791,170
U00005790,171
U00005788,172
U00005787,173
U00005783,174
U00005782,175
U00005780,176
U00005779,177
U00005778,178
U00005777,179
U00005776,180
U00005775,181
U00005770,182
U00005769,183
U00005768,184
U00005767,185
U00005766,186
U00005765,187
U00005764,188
U00005762,189
U00005760,190
U00005759,191
U00005757,192
U00005755,193
U00005786,194
U00005754,195
U00005753,196
U00005752,197
U00005758,198
U00005751,199
U00005748,200
U00005746,201
U00005747,202
U00005745,203
U00005744,204
U00005742,205
U00005740,206
U00005738,207
U00005733,208
U00005732,209
U00005731,210
U00005730,211
U00005728,212
U00005736,213
U00005721,214
U00005720,215
U00005717,216
U00005718,217
U00005716,218
U00005713,219
U00005712,220
U00005711,221
U00005710,222
U00005709,223
U00005708,224
U00005706,225
U00005705,226
U00005704,227
U00005702,228
U00005701,229
U00005699,230
U00005700,231
U00005698,232
U00005695,233
U00005693,234
U00005691,235
U00005690,236
U00005687,237
U00005688,238
U00005686,239
U00005684,240
U00005682,241
U00005689,242
U00005679,243
U00005678,244
U00005676,245
U00005673,246
U00005674,247
U00005675,248
U00005671,249
U00005670,250
U00005669,251
U00005785,252
U00005667,253
U00005666,254
U00005665,255
U00005664,256
U00005663,257
U00005661,258
U00005659,259
U00005658,260
U00005657,261
U00005763,262
U00005656,263
U00005655,264
U00005654,265
U00005652,266
U00005653,267
U00005651,268
U00005650,269
U00005649,270
U00005647,271
U00005646,272
U00005645,273
U00005644,274
U00005648,275
U00005643,276
U00005641,277
U00005642,278
U00005677,279
U00005662,280
U00005637,281
U00005638,282
U00005636,283
U00005635,284
U00005634,285
U00005632,286
U00005629,287
U00005628,288
U00005627,289
U00005626,290
U00005625,291
U00005623,292
U00005622,293
U00005621,294
U00005619,295
U00005618,296
U00005617,297
U00005615,298
U00005614,299
U00005631,300
U00005613,301
U00005610,302
U00005609,303
U00005607,304
U00005606,305
U00005605,306
U00005603,307
U00005601,308
U00005599,309
U00005598,310
U00005597,311
U00005596,312
U00005595,313
U00005714,314
U00005593,315
U00005594,316
U00005592,317
U00005585,318
U00005583,319
U00005587,320
U00005578,321
U00005580,322
U00005575,323
U00005576,324
U00005574,325
U00005573,326
U00005572,327
U00005571,328
U00005569,329
U00005570,330
U00005568,331
U00005567,332
U00005565,333
U00005563,334
U00005562,335
U00005561,336
U00005560,337
U00005559,338
U00005558,339
U00005683,340
U00005557,341
U00005556,342
U00005554,343
U00005553,344
U00005552,345
U00005555,346
U00005604,347
U00005600,348
U00005550,349
U00005548,350
U00005547,351
U00005545,352
U00005543,353
U00005535,354
U00005532,355
U00005531,356
U00005530,357
U00005527,358
U00005526,359
U00005525,360
U00005524,361
U00005523,362
U00005522,363
U00005521,364
U00005519,365
U00005518,366
U00005515,367
U00005516,368
U00005514,369
U00005512,370
U00005536,371
U00005511,372
U00005509,373
U00005506,374
U00005505,375
U00005504,376
U00005520,377
U00005503,378
U00005501,379
U00005500,380
U00005499,381
U00005502,382
U00005498,383
U00005497,384
U00005496,385
U00005493,386
U00005490,387
U00005494,388
U00005602,389
U00005488,390
U00005487,391
U00005486,392
U00005485,393
U00005482,394
U00005491,395
U00005479,396
U00005478,397
U00005477,398
U00005474,399
U00005473,400
U00005483,401
U00005472,402
U00005734,403
U00005471,404
U00005470,405
U00005468,406
U00005466,407
U00005464,408
U00005463,409
U00005461,410
U00005460,411
U00005459,412
U00005456,413
U00005457,414
U00005455,415
U00005539,416
U00005453,417
U00005452,418
U00005451,419
U00005450,420
U00005448,421
